Player,pcode,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO
이현석,65869,85,4,0.306,0.211,4.7,32.9,76,11,4,0,4,0,28
신용수,69508,137,1,0.306,0.1,8.0,14.6,120,23,5,2,11,3,20
최용제,64213,121,0,0.305,0.028,9.1,18.2,106,27,3,0,11,2,22
김재유,65506,192,1,0.305,0.063,5.2,18.8,174,41,8,0,10,4,36
신성현,64086,15,0,0.305,0.0,20.0,40.0,11,2,0,0,3,1,6
최인호,50707,164,4,0.305,0.132,14.6,26.2,136,18,6,0,24,2,43
황대인,65610,308,13,0.304,0.181,5.8,20.1,282,43,10,1,18,2,62
김주형,69306,70,0,0.304,0.06,5.7,21.4,50,6,3,0,4,13,15
송준석,64469,55,2,0.303,0.157,5.5,23.6,51,8,2,0,3,1,13
오준혁,61743,49,2,0.303,0.178,8.2,30.6,45,6,2,0,4,0,15
박준태,64657,58,0,0.302,0.065,17.2,27.6,46,6,3,0,10,2,16
심우준,64006,457,6,0.301,0.104,7.0,14.2,404,80,20,2,32,4,65
허도환,77243,125,2,0.3,0.114,6.4,22.4,105,21,6,0,8,2,28
김민하,61554,142,1,0.298,0.078,12.0,25.4,115,18,4,1,17,8,36
최정원,69992,232,0,0.298,0.039,7.3,16.4,207,52,4,2,17,4,38
이흥련,63440,146,3,0.297,0.094,8.2,21.2,127,24,3,0,12,5,31
최항,62884,78,0,0.296,0.059,7.7,20.5,68,15,2,1,6,2,16
안재석,51203,224,2,0.296,0.09,7.1,23.7,200,39,8,2,16,4,53
이영빈,51100,170,2,0.296,0.101,8.8,30.6,149,25,9,0,15,3,52
프레이타스,51324,148,2,0.296,0.115,4.7,19.6,139,24,10,0,7,1,29
강승호,63123,341,7,0.295,0.136,6.5,22.9,302,48,16,2,22,6,78
고종욱,61353,196,2,0.295,0.067,7.7,14.3,178,40,6,0,15,0,28
문상철,64007,103,2,0.295,0.129,7.8,29.1,93,13,6,0,8,2,30
김민수,67504,220,3,0.294,0.108,8.2,28.2,195,33,10,1,18,3,62
장두성,68507,41,0,0.294,0.111,12.2,29.3,36,5,2,1,5,0,12
조한민,69705,145,5,0.293,0.197,9.0,39.3,127,12,6,2,13,2,57
김태군,78122,267,7,0.292,0.126,7.9,10.5,223,36,7,0,21,11,28
이성열,73136,140,2,0.292,0.118,12.9,25.7,119,15,8,0,18,1,36
