Player,pcode,Team,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9,WAR
홍건희,61643,KIA,3.0,9,4,0,0,0,2,1.87,6.0,0.0,0.13
황동하,52641,KIA,70.0,210,68,12,31,3,50,5.46,6.43,3.99,0.13
문동주,52701,한화,23.0,69,27,3,11,3,18,5.16,7.04,4.3,0.12
이승현,60146,삼성,21.0,63,35,4,12,0,24,5.1,10.29,5.14,0.12
이상동,69054,KT,12.0,36,11,2,4,0,10,4.7,7.5,3.0,0.12
박정민,56536,롯데,31.0,93,24,4,30,2,42,5.26,12.19,8.71,0.12
김시훈,68928,KIA,5.0,15,5,0,2,1,4,3.4,7.2,3.6,0.12
장재혁,50641,KIA,6.0,18,6,0,5,0,5,4.03,7.5,7.5,0.11
김선기,66018,키움,3.0,9,3,0,1,0,3,2.2,9.0,3.0,0.11
이종준,50904,LG,3.0,9,1,0,0,1,3,2.2,9.0,0.0,0.11
배재환,64995,NC,22.0,66,34,5,11,1,29,5.15,11.86,4.5,0.11
최주형,56215,두산,6.0,18,4,0,7,0,8,4.03,12.0,10.5,0.11
이형범,62951,KIA,22.0,66,22,3,11,2,17,5.2,6.95,4.5,0.1
최준호,53259,두산,21.0,63,23,4,13,1,26,5.2,11.14,5.57,0.1
해치,56855,SSG,22.0,66,33,4,10,1,20,5.25,8.18,4.09,0.09
정철원,68242,롯데,19.0,57,30,3,12,1,20,5.2,9.47,5.68,0.09
박신지,68249,두산,22.0,66,27,3,12,2,18,5.25,7.36,4.91,0.09
권민규,55764,한화,8.0,24,13,1,4,0,7,4.58,7.88,4.5,0.09
정우주,55743,한화,29.0,87,42,3,30,6,42,5.37,13.03,9.31,0.08
김범수,65769,KIA,21.0,63,35,2,26,2,33,5.3,14.14,11.14,0.08
서진용,61895,SSG,7.0,21,8,1,3,0,6,4.63,7.71,3.86,0.08
박윤성,53301,키움,3.0,9,3,0,2,0,3,3.2,9.0,6.0,0.08
최우석,54903,NC,4.0,12,7,0,3,0,3,3.95,6.75,6.75,0.07
신영우,53919,NC,15.0,45,6,1,21,2,26,5.2,15.6,12.6,0.07
임정호,63959,NC,6.0,18,11,1,4,1,10,4.53,15.0,6.0,0.07
박지성,56337,키움,22.0,66,27,5,8,0,21,5.34,8.59,3.27,0.07
로건,55912,KT,22.0,66,24,4,7,0,13,5.34,5.32,2.86,0.07
김백산,55420,삼성,5.0,15,2,0,4,0,3,4.4,5.4,7.2,0.07
김준원,54910,NC,9.0,27,7,1,7,2,12,4.98,12.0,7.0,0.06
윤석원,52395,키움,6.0,18,12,1,2,0,5,4.7,7.5,3.0,0.06
정동윤,66858,SSG,6.0,18,2,0,6,1,6,4.7,9.0,9.0,0.06
장찬희,56460,삼성,51.0,153,49,9,25,4,43,5.51,7.59,4.41,0.06
문승원,62869,SSG,32.0,96,32,3,18,5,18,5.45,5.06,5.06,0.06
구승민,63543,롯데,4.0,12,7,0,3,1,4,4.2,9.0,6.75,0.06
이승헌,68529,롯데,4.0,12,6,0,3,0,2,4.45,4.5,6.75,0.05
박진형,63512,키움,19.0,57,31,2,14,4,19,5.41,9.0,6.63,0.04
이준우,55301,키움,7.0,21,12,0,8,1,7,5.06,9.0,10.29,0.04
박준우,54503,롯데,14.0,42,25,2,6,2,10,5.34,6.43,3.86,0.04
박지한,69994,NC,3.0,9,1,0,3,1,4,4.53,12.0,9.0,0.04
엄상백,65056,한화,4.0,12,12,0,1,1,0,4.7,0.0,2.25,0.04
이준기,51702,SSG,3.0,9,4,0,2,0,1,4.53,3.0,6.0,0.04
타무라,56218,두산,13.0,39,28,3,5,1,14,5.43,9.69,3.46,0.03
손주환,54904,NC,11.0,33,17,2,9,0,14,5.47,11.45,7.36,0.02
한재승,51994,KIA,30.0,90,28,4,18,3,22,5.57,6.6,5.4,0.02
윤성빈,67588,롯데,4.0,12,4,0,7,0,6,5.45,13.5,15.75,0.01
김건우,51867,SSG,81.0,243,96,12,49,6,63,5.61,7.0,5.44,0.01
플렉센,50234,두산,10.0,30,5,1,7,2,8,5.6,7.2,6.3,0.0
김윤식,50157,LG,17.0,51,20,1,16,3,14,5.67,7.41,8.47,-0.01
