Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
이상민,63960,11.0,33,17,4,11,1,13,8.84,10.64,9.0
신재웅,75138,15.0,45,26,5,14,0,11,8.87,6.6,8.4
고효준,72523,10.0,30,14,3,11,3,11,9.1,9.9,9.9
이강준,50036,5.0,15,9,1,5,3,3,9.4,5.4,9.0
오동욱,69703,9.0,27,22,3,7,2,5,9.42,5.0,7.0
문대원,67259,5.0,15,12,2,2,0,0,9.6,0.0,3.6
서덕원,66663,11.0,33,14,5,4,3,6,9.93,4.91,3.27
이찬혁,67164,3.0,9,4,1,3,1,1,10.87,3.0,9.0
김진호,67954,10.0,30,14,5,8,1,7,11.0,6.3,7.2
윤호솔,63961,4.0,12,8,2,6,0,4,12.2,9.0,13.5
신재영,62937,4.0,12,13,2,4,0,1,12.2,2.25,9.0
박진태,67646,16.0,48,32,9,16,4,14,12.51,7.88,9.0
이우찬,61145,3.0,9,9,1,7,2,4,13.87,12.0,21.0
김명찬,65696,4.0,12,13,2,12,2,11,14.7,24.75,27.0
류원석,63103,4.0,12,8,1,11,4,5,15.2,11.25,24.75
