Player,pcode,Team,Position,PA,HR,wOBA,ISO,BB%,K%,AB,1B,2B,3B,BB,HBP,SO,wRC+,wRAA,WAR
임지열,64340,키움,지명타자,94,1,0.261,0.062,11.7,24.5,80,13,2,0,11,1,23,49.9,-5.66,-0.56
김상준,55425,삼성,지명타자,58,0,0.218,0.02,5.2,24.1,51,8,1,0,3,3,14,18.5,-5.67,-0.56
이영빈,51100,LG,지명타자,84,1,0.253,0.066,7.1,26.2,76,14,2,0,6,0,22,44.1,-5.64,-0.56
서호철,69995,NC,지명타자,150,2,0.285,0.086,10.7,19.3,128,23,5,0,16,1,29,67.5,-5.85,-0.57
나승엽,51551,롯데,지명타자,188,5,0.292,0.132,9.6,16.5,167,26,7,0,18,0,31,72.6,-6.17,-0.6
손아섭,77532,두산,지명타자,154,1,0.282,0.043,8.4,17.5,138,32,3,0,13,0,27,64.9,-6.49,-0.64
최재훈,78288,한화,지명타자,112,2,0.261,0.076,8.0,19.6,92,14,1,0,9,7,22,49.6,-6.77,-0.67
오선진,78756,키움,지명타자,77,0,0.228,0.029,6.5,18.2,68,13,2,0,5,0,14,26.1,-6.83,-0.68
이호준,54598,롯데,지명타자,55,0,0.185,0.022,16.4,30.9,46,3,1,0,9,0,17,0.0,-6.96,-0.69
어준서,55392,키움,지명타자,92,0,0.243,0.012,4.3,22.8,84,19,1,0,4,2,21,37.1,-6.94,-0.69
박한결,56304,키움,지명타자,56,0,0.183,0.02,7.1,23.2,51,7,1,0,4,0,13,0.0,-7.15,-0.71
최지훈,50854,SSG,지명타자,358,10,0.306,0.18,6.1,14.0,327,45,17,6,22,3,50,82.9,-7.35,-0.71
이유찬,67207,두산,지명타자,116,1,0.256,0.078,6.0,27.6,103,17,3,1,7,3,32,46.1,-7.51,-0.74
양우현,69403,삼성,지명타자,102,1,0.244,0.083,11.8,22.5,84,9,4,0,12,2,23,37.8,-7.61,-0.75
브룩스,56322,키움,지명타자,181,0,0.278,0.051,11.6,14.9,156,28,8,0,21,1,27,62.2,-8.22,-0.81
장두성,68507,롯데,지명타자,180,0,0.277,0.036,5.0,21.7,166,40,4,1,9,2,39,61.9,-8.22,-0.81
데일,56632,KIA,지명타자,148,1,0.265,0.054,8.8,10.8,130,26,4,0,13,0,16,53.2,-8.31,-0.82
이지영,79456,SSG,지명타자,78,0,0.205,0.044,7.7,7.7,68,9,3,0,6,0,6,9.1,-8.51,-0.84
한유섬,62895,SSG,지명타자,116,0,0.246,0.011,15.5,25.9,95,15,1,0,18,2,30,38.7,-8.53,-0.84
김규성,66614,KIA,지명타자,167,0,0.271,0.069,9.0,20.4,145,27,6,2,15,0,34,57.1,-8.59,-0.85
김선빈,78603,KIA,지명타자,331,1,0.299,0.06,13.0,10.3,283,53,14,0,43,3,34,77.3,-9.01,-0.87
이도윤,65703,한화,지명타자,258,1,0.29,0.08,4.7,15.1,238,50,12,2,12,2,39,70.9,-9.0,-0.88
양석환,64153,두산,지명타자,124,1,0.247,0.065,8.9,27.4,107,17,4,0,11,1,34,39.8,-8.96,-0.89
박지훈,50204,두산,지명타자,226,0,0.282,0.042,9.7,14.2,191,42,4,2,22,4,32,65.3,-9.42,-0.92
최주환,76267,키움,지명타자,295,4,0.293,0.091,11.9,13.6,254,45,9,1,35,1,40,73.0,-9.56,-0.93
오재원,56754,한화,지명타자,141,0,0.252,0.04,9.9,13.5,124,23,3,1,14,0,19,43.6,-9.54,-0.94
정준재,54812,SSG,지명타자,347,1,0.296,0.078,8.4,14.1,296,64,8,6,29,5,49,75.0,-10.41,-1.01
구본혁,69100,LG,지명타자,232,0,0.279,0.015,8.2,11.6,199,52,3,0,19,2,27,62.7,-10.37,-1.02
손성빈,51528,롯데,지명타자,220,2,0.275,0.092,6.8,17.3,196,32,12,0,15,3,38,59.9,-10.59,-1.04
신민재,65207,LG,지명타자,285,0,0.28,0.012,11.2,13.0,244,59,3,0,32,2,37,63.8,-12.37,-1.21
전준우,78513,롯데,지명타자,203,2,0.26,0.064,6.4,15.3,188,36,6,0,13,0,31,49.4,-12.32,-1.22
한승택,63722,KT,지명타자,208,2,0.257,0.076,9.1,23.6,172,29,7,0,19,2,49,47.0,-13.22,-1.3
조형우,51865,SSG,지명타자,220,3,0.259,0.107,5.5,20.0,197,28,12,0,12,3,44,48.3,-13.66,-1.35
박민,50657,KIA,지명타자,195,3,0.248,0.094,7.7,15.9,171,25,5,1,15,2,31,40.4,-13.96,-1.38
권혁빈,55371,키움,지명타자,141,0,0.192,0.023,4.3,24.8,129,19,3,0,6,3,35,0.0,-16.97,-1.69
이강민,56006,KT,지명타자,174,0,0.204,0.012,4.6,25.3,162,30,2,0,8,1,44,8.6,-19.09,-1.89
