Player,pcode,IP,Outs,H,HR,BB,HBP,SO,FIP,K/9,BB/9
양현,61268,40.2,122,31,1,11,1,25,3.18,5.53,2.43
조현우,64047,7.2,23,6,0,5,1,9,3.2,10.57,5.87
조덕길,63348,5.0,15,9,0,2,0,3,3.2,5.4,3.6
이승현,60146,37.1,112,28,2,11,1,31,3.2,7.47,2.65
켈리,69103,182.2,548,166,7,41,16,129,3.22,6.36,2.02
임현준,61457,42.2,128,34,2,12,3,35,3.22,7.38,2.53
고우석,67119,71.1,214,47,4,30,4,76,3.23,9.59,3.79
이보근,75342,17.0,51,29,1,4,0,12,3.26,6.35,2.12
서폴드,69744,194.2,584,191,8,55,8,138,3.29,6.38,2.54
진해수,76650,41.2,125,44,2,16,2,38,3.3,8.21,3.46
강지광,79130,27.0,81,24,0,11,0,15,3.31,5.0,3.67
정우람,74857,58.2,176,57,4,16,1,48,3.32,7.36,2.45
김재윤,65062,48.0,144,27,4,12,1,42,3.35,7.88,2.25
최영환,64718,19.2,59,21,1,9,1,20,3.35,9.15,4.12
여건욱,79825,29.1,88,35,2,8,1,24,3.37,7.36,2.45
헤일리,69435,86.2,260,95,5,34,6,84,3.4,8.72,3.53
프리드릭,69953,72.1,217,63,4,22,3,56,3.41,6.97,2.74
김상수,76430,56.1,169,50,3,28,2,58,3.43,9.27,4.47
윤규진,73750,4.1,13,6,0,1,0,1,3.43,2.08,2.08
톰슨,69550,62.2,188,54,4,23,5,60,3.46,8.62,3.3
안영명,73738,61.2,185,82,5,13,3,48,3.48,7.01,1.9
정영일,62056,42.0,126,32,1,22,1,35,3.49,7.5,4.71
배민서,69974,3.1,10,7,0,0,1,1,3.5,2.7,0.0
손승락,75321,52.1,157,55,3,19,3,44,3.52,7.57,3.27
박세웅,64021,60.0,180,66,3,23,0,44,3.53,6.6,3.45
신재영,62937,29.1,88,34,1,9,4,21,3.54,6.44,2.76
이태양,60768,66.1,199,74,8,13,3,64,3.56,8.68,1.76
레일리,65546,179.2,539,191,10,65,8,140,3.58,7.01,3.26
김경태,60757,10.2,32,14,0,8,0,10,3.58,8.44,6.75
하준호,78517,8.0,24,4,1,4,0,11,3.58,12.38,4.5
구창모,65933,107.0,321,85,10,41,6,114,3.6,9.59,3.45
박준표,63638,55.2,167,42,4,6,4,30,3.6,4.85,0.97
이재학,60263,129.1,388,133,6,43,9,91,3.6,6.33,2.99
윤명준,62242,68.1,205,63,3,20,3,40,3.61,5.27,2.63
김동준,62360,69.1,208,77,5,23,0,50,3.69,6.49,2.99
이민우,65616,61.2,185,74,4,26,4,56,3.69,8.17,3.79
박진우,63991,141.2,425,137,9,29,19,92,3.74,5.84,1.84
배제성,65516,133.0,399,132,6,56,3,91,3.75,6.16,3.79
정우영,69159,65.2,197,57,2,21,8,38,3.76,5.21,2.88
루친스키,69940,176.2,530,164,13,45,11,119,3.76,6.06,2.29
김대유,60337,27.0,81,21,1,12,4,23,3.76,7.67,4.0
배재환,64995,54.1,163,49,3,31,7,61,3.77,10.1,5.13
알칸타라,69045,172.0,516,189,15,27,8,100,3.78,5.23,1.41
김주한,66859,12.0,36,12,0,7,2,10,3.78,7.5,5.25
김대현,66145,67.1,202,63,2,27,4,40,3.78,5.35,3.61
최채흥,68419,107.0,321,127,10,36,1,89,3.79,7.49,3.03
주권,65060,74.2,224,64,7,14,2,47,3.8,5.67,1.69
박시영,60559,63.1,190,51,5,27,4,60,3.8,8.53,3.84
장민재,79764,119.0,357,150,14,27,6,103,3.83,7.79,2.04
이영하,66291,165.1,496,148,5,64,10,91,3.84,4.95,3.48
권혁,72447,36.2,110,36,3,7,2,21,3.85,5.15,1.72
다익손,69861,149.0,447,164,15,40,6,117,3.86,7.07,2.42
강윤구,79358,56.2,170,55,4,24,4,49,3.87,7.78,3.81
유희관,79229,166.2,500,171,8,42,3,64,3.87,3.46,2.27
임기준,60634,37.0,111,32,1,16,4,24,3.88,5.84,3.89
안우진,68341,88.1,265,97,8,36,3,80,3.89,8.15,3.67
서균,64759,4.1,13,10,0,3,0,3,3.89,6.23,6.23
이종혁,67066,5.2,17,6,0,3,1,4,3.91,6.35,4.76
박민호,64893,50.0,150,49,2,14,4,22,3.92,3.96,2.52
이준영,65665,50.1,151,64,3,26,2,43,3.94,7.69,4.65
민태호,78366,5.1,16,12,1,1,0,6,3.95,10.12,1.69
채드벨,69748,177.1,532,169,14,63,10,134,3.95,6.8,3.2
박진형,63512,40.2,122,40,6,11,0,40,3.96,8.85,2.43
고효준,72523,63.1,190,58,6,36,3,72,4.01,10.23,5.12
소사,62698,93.2,281,85,15,23,2,96,4.03,9.22,2.21
신재웅,75138,21.2,65,14,1,10,1,14,4.03,5.82,4.15
윌랜드,69656,164.2,494,191,17,59,5,137,4.04,7.49,3.22
장지훈,67443,14.1,43,22,0,11,1,12,4.04,7.53,6.91
심수창,74167,11.2,35,17,1,7,0,12,4.06,9.26,5.4
최성영,66920,81.1,244,79,3,49,3,62,4.07,6.86,5.42
문광은,60845,33.0,99,35,3,13,1,26,4.08,7.09,3.55
고영창,63628,54.0,162,63,2,14,8,22,4.09,3.67,2.33
차우찬,76455,169.0,507,181,16,59,5,124,4.1,6.6,3.14
터너,69640,153.0,459,179,12,58,17,121,4.11,7.12,3.41
진명호,79545,63.0,189,56,4,35,1,51,4.12,7.29,5.0
장시환,77318,125.2,377,147,12,58,2,109,4.14,7.81,4.15
버틀러,69934,73.2,221,78,6,28,2,49,4.15,5.99,3.42
이용찬,77211,148.0,444,168,15,45,6,102,4.17,6.2,2.74
이승호,67603,122.2,368,134,10,51,1,82,4.19,6.02,3.74
최지광,67421,67.2,203,64,4,40,5,60,4.19,7.98,5.32
임준섭,62611,48.1,145,56,1,28,1,26,4.19,4.84,5.21
박치국,67266,52.0,156,64,5,14,5,35,4.2,6.06,2.42
Unknown,66444,3.0,9,2,0,3,0,3,4.2,9.0,9.0
우규민,73117,58.1,175,58,7,10,6,40,4.21,6.17,1.54
차재용,65509,9.2,29,9,0,8,0,7,4.23,6.52,7.45
쿠에바스,69032,184.0,552,153,18,63,12,135,4.23,6.6,3.08
이현호,61214,40.1,121,51,2,19,1,22,4.24,4.91,4.24
차명진,64615,32.2,98,35,1,18,2,19,4.27,5.23,4.96
김선기,66018,28.0,84,27,2,9,4,17,4.31,5.46,2.89
하준영,68639,52.2,158,59,5,32,0,51,4.32,8.72,5.47
박희수,76858,28.2,86,29,1,13,3,14,4.35,4.4,4.08
김건국,76225,66.2,200,73,5,27,6,43,4.37,5.8,3.64
박종훈,60841,144.0,432,157,12,59,13,100,4.39,6.25,3.69
김건태,60339,51.1,154,49,5,16,4,32,4.39,5.61,2.81
배재준,63145,62.1,187,61,3,33,8,44,4.39,6.35,4.76
이형범,62951,60.2,182,57,4,19,9,31,4.42,4.6,2.82
백승건,69839,19.0,57,16,1,12,1,14,4.46,6.63,5.68
송승준,77591,14.1,43,16,2,6,0,13,4.46,8.16,3.77
손동현,69041,46.2,140,51,2,31,0,29,4.51,5.59,5.98
이우석,65964,5.1,16,7,0,5,0,4,4.51,6.75,8.44
유원상,76757,21.0,63,21,2,9,1,14,4.53,6.0,3.86
임창민,78352,15.0,45,14,1,8,1,10,4.53,6.0,4.8
